codigo_partido	nombre	coalicion	partidos_coalicion	tradicional	temporalidad	gradonac	ideologia	paso_ideologia	justificacion_ideologia	grupo_representativo_1	paso1_gr	justificacion_gr_1	grupo_representativo_2	paso2_gr	justificacion_gr_2	part_alcaldia	part_asamblea	part_camara	part_concejo	part_gobernacion	part_presidencia	part_presidencia_1v	part_presidencia_2v	part_senado	fuente_ideologia	fuente_gr
18480001	"PARTIDO LIBERAL COLOMBIANO"	0	""	1	"1848-2022"	1	3	2	"Se revisan los estatutos de los partidos y se asigna la etiqueta de izquierda si al menos tres posiciones políticas coinciden con ciertos criterios. Se clasifica como partido de derecha si al menos tres de las posiciones cumplen con ciertos criterios. Los partidos que no cumplen con al menos tres de dichas posiciones no son clasificados como de izquierda ni de derecha. "	98		""	98		""	1	1	1	1	1	1	1	1	1	"http://partidoliberalcolombiano.info/documentos/ESTATUTOS%20REVISADOS%20COMISI%C3%93N%20DE%20ESTILO2.pdf"	"https://www.partidoliberal.org.co/congreso/wp-content/uploads/2017/08/ESTATUTOS-2002-LEY-1475-DE-2011.pdf"
18490002	"PARTIDO CONSERVADOR COLOMBIANO"	0	""	1	"1849-2022"	1	2	2	"Se revisan los estatutos de los partidos y se asigna la etiqueta de izquierda si al menos tres posiciones políticas coinciden con ciertos criterios. Se clasifica como partido de derecha si al menos tres de las posiciones cumplen con ciertos criterios. Los partidos que no cumplen con al menos tres de dichas posiciones no son clasificados como de izquierda ni de derecha. "	98		""	98		""	1	1	1	1	1	1	1	0	1	"https://www.partidoconservador.com/wp-content/uploads/2019/09/Estatutos-PCC_compressed.pdf,correo - - paginas para bajar planchas otro manual del conservadorr (partidoconservador.com)"	""
18680001	"PARTIDO NACIONAL COLOMBIANO"	0	""	0	"1868-1868"	99	4		""	99		""	99		""	0	0	0	0	0	1	0	0	0	""	""
19260001	"PARTIDO SOCIALISTA REVOLUCIONARIO (PSR)"	0	""	0	"1926-1926"	99	4		""	99		""	99		""	0	0	0	0	0	0	0	0	0	""	""
19280001	"PARTIDO AGRARIO NACIONAL (PAN)"	0	""	0	"1928-1928"	99	4		""	99		""	99		""	0	0	0	0	0	0	0	0	0	""	""
19300001	"PARTIDO COMUNISTA COLOMBIANO"	0	""	0	"1970-1998"	0	1	1	"Se clasifica los partidos políticos como de izquierda o derecha en base a sus nombres o eslóganes"	98		""	98		""	1	1	1	1	0	0	0	0	1	"Vista de Apuntes para una historia del Partido Socialista Democrático de Colombia (1939-1949) (unad.edu.co)"	"https://pacocol.org/wp-content/uploads/2022/07/Estatutos-del-PCC-Personeria-1.pdf"
19330001	"UNIóN NACIONAL IZQUIERDISTA REVOLUCIONARIA (UNIR)"	0	""	0	"1933-1933"	99	4		""	99		""	99		""	0	0	1	0	0	0	0	0	0	""	""
19380001	"PARTIDO SOCIALISTA DEMOCRATICO - PSD"	0	""	0	"1997-2002"	0	1	1	"Se clasifica los partidos políticos como de izquierda o derecha en base a sus nombres o eslóganes"	98		""	98		""	1	1	1	1	1	0	0	0	1	"Partido Comunista Colombiano - Wikipedia, la enciclopedia libre"	""
19470001	"FRENTE POPULAR"	0	""	0	"1947-1990"	99	4		""	99		""	99		""	0	0	1	0	0	0	0	0	0	""	"https://pdba.georgetown.edu/Elecdata/Col/leg31_90.html"
19550001	"MOVIMIENTO DE ACCIóN NACIONAL (MAN)"	0	""	0	"1955-1955"	99	4		""	99		""	99		""	0	0	0	0	0	0	0	0	0	""	""
