nombre,codigo_partido,coalicion,partidos_coalicion,tradicional,temporalidad,gradonac,ideologia,paso_ideologia,justificacion_ideologia,grupo_representativo_1,paso1_gr,justificacion_gr_1,grupo_representativo_2,paso2_gr,justificacion_gr_2,part_alcaldia,part_asamblea,part_camara,part_concejo,part_gobernacion,part_presidencia,part_presidencia_1v,part_presidencia_2v,part_senado,fuente_ideologia,fuente_gr,nombre_upper,votos_alcaldia,votos_asamblea,votos_camara,votos_concejo,votos_gobernacion,votos_presidencia,votos_senado
"""UN CAMBIO JUSTO..."" COLON SIN CORRUPCIÓN",20150412,0,,0,2015-2015,0,1,3,"Se revisan los planes de gobierno de cada partido para cada municipio o elección y se clasifican como de izquierda o derecha según criterios del paso anterior. Si no encajan en ninguna de las dos categorías, se les cataloga como sin ideología definida.",98,,,98,,,1,0,0,0,0,0,0,0,0,http://raulestacioalcalde.blogspot.com/,,"""UN CAMBIO JUSTO..."" COLON SIN CORRUPCIÓN",0,0,0,0,0,0,0
#YO CREO EN CALIFORNIA,20150481,0,,0,2015-2015,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,#YO CREO EN CALIFORNIA,376,0,0,0,0,0,0
"100"" CUBARRAL",20150398,0,,0,2015-2015,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,"100"" CUBARRAL",0,0,0,0,0,0,0
A PLATO HAGÁMOSLO MÁS GRANDE HAGÁMOSLO MEJOR,20150657,0,,0,2015-2015,0,4,,,99,,,99,,,0,0,0,1,0,0,0,0,0,,,A PLATO HAGÁMOSLO MÁS GRANDE HAGÁMOSLO MEJOR,0,0,0,0,0,0,0
ABEJORRAL VUELVE A CREER,20070323,0,,0,2007-2007,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ABEJORRAL VUELVE A CREER,2920,0,0,0,0,0,0
ACACIAS SEGURA YA,20110002,0,,0,2011-2011,0,4,,,99,,,99,,,1,0,0,1,0,0,0,0,0,,,ACACIAS SEGURA YA,6647,0,0,2776,0,0,0
ACCION,19940042,0,,0,1994-1994,0,4,,,99,,,99,,,0,0,0,0,0,0,0,0,1,,,ACCION,0,0,0,0,0,0,7076
ACCION CIUDADANA POR VILLA DE LEYVA,20070337,0,,0,2007-2007,0,4,,,99,,,99,,,1,0,0,1,0,0,0,0,0,,,ACCION CIUDADANA POR VILLA DE LEYVA,3129,0,0,2310,0,0,0
ACCION CIVICA CIUDADANA JARDIN,20030002,0,,0,2003-2003,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ACCION CIVICA CIUDADANA JARDIN,590,0,0,0,0,0,0
ACCION CIVICA UNIDA POR BOGOTA Y CUNDINAMARCA - ACUBOC CON LOPEZ,19820029,0,,0,1982-1982,99,4,,,99,,,99,,,0,0,0,1,0,0,0,0,0,,,ACCION CIVICA UNIDA POR BOGOTA Y CUNDINAMARCA - ACUBOC CON LOPEZ,0,0,0,0,0,0,0
ACCION COMUNITARIA,19940066,0,,0,1994-2007,0,4,,,99,,,99,,,0,0,1,1,0,0,0,0,0,,,ACCION COMUNITARIA,0,0,0,0,0,0,0
ACCION CON EL CARMEN,20070327,0,,0,2007-2007,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ACCION CON EL CARMEN,2295,0,0,0,0,0,0
ACCION DEMOCRATICA CIUDADANA,19940040,0,,0,1994-1994,0,4,,,99,,,99,,,0,0,1,0,0,0,0,0,1,,,ACCION DEMOCRATICA CIUDADANA,0,0,2212,0,0,0,6735
ACCIÓN COMUNITARIA NACIONAL,19800027,0,,0,1980-1980,99,4,,,99,,,99,,,0,1,0,0,0,0,0,0,0,,,ACCIÓN COMUNITARIA NACIONAL,0,0,0,0,0,0,0
ACCIÓN CÍVICA NACIONAL,19800011,0,,0,1980-1980,99,4,,,99,,,99,,,0,1,0,0,0,0,0,0,0,,,ACCIÓN CÍVICA NACIONAL,0,0,0,0,0,0,0
ACCIÓN LIBERAL ECOLÓGICA,19920183,0,,0,1992-1992,99,4,,,99,,,99,,,0,0,0,1,0,0,0,0,0,,,ACCIÓN LIBERAL ECOLÓGICA,0,0,0,0,0,0,0
ACCIÓN REGIONAL DEL MAGDALENA MEDIO,19760018,0,,0,1976-1976,99,4,,,99,,,99,,,0,1,0,1,0,0,0,0,0,,,ACCIÓN REGIONAL DEL MAGDALENA MEDIO,0,0,0,0,0,0,0
ACUERDO CIUDADANO - UNIDOS POR JERICO,20190113,0,,0,2019-2019,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ACUERDO CIUDADANO - UNIDOS POR JERICO,889,0,0,0,0,0,0
ACUERDO DE COALICION PARA SERVIRLE A MI GENTE,20110074,1,,0,2011-2011,99,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ACUERDO DE COALICION PARA SERVIRLE A MI GENTE,0,0,0,0,0,0,0
