"cluster","ideologia","grupo_representativo_1","n","porcentaje"
"1",1,99,72,100
"1",2,99,361,100
"1",3,99,1498,100
"2",1,7,3,100
"2",3,7,5,100
"2",4,1,156,7.74
"2",4,2,44,2.18
"2",4,3,3,0.15
"2",4,4,1,0.05
"2",4,5,17,0.84
"2",4,6,8,0.4
"2",4,7,165,8.18
"2",4,98,30,1.49
"2",4,99,1592,78.97
"3",1,1,1,0.3
"3",1,2,53,16.16
"3",1,3,3,0.91
"3",1,4,42,12.8
"3",1,7,5,1.52
"3",1,98,224,68.29
"3",2,3,2,4.35
"3",2,98,44,95.65
"3",3,1,14,1.94
"3",3,2,3,0.42
"3",3,3,24,3.33
"3",3,6,2,0.28
"3",3,7,18,2.5
"3",3,98,660,91.54
"4",1,2,1,9.09
"4",1,4,3,27.27
"4",1,98,6,54.55
"4",1,99,1,9.09
"4",2,3,4,57.14
"4",2,98,3,42.86
"4",3,98,11,84.62
"4",3,99,2,15.38
"4",4,1,4,6.45
"4",4,2,2,3.23
"4",4,3,4,6.45
"4",4,98,1,1.61
"4",4,99,51,82.26
