"Variable","Chi2","gl","p","CramerV","p_ajustado","Significativo"
"part_presidencia",3463.393,3,0,0.821,0,"Sí"
"ideologia",5835.566,9,0,0.615,0,"Sí"
"grupo_representativo_2",5058.63,21,0,0.573,0,"Sí"
"grupo_representativo_1",5038.572,24,0,0.571,0,"Sí"
"gradonac",3017.032,6,0,0.542,0,"Sí"
"part_senado",547.391,3,2.55472225222763e-118,0.326,5.10944450445526e-118,"Sí"
"part_camara",522.631,3,5.94167171285835e-113,0.319,1.01857229363286e-112,"Sí"
"part_alcaldia",517.429,3,7.96988618242353e-112,0.317,1.19548292736353e-111,"Sí"
"tradicional",479.64,3,1.23271941635695e-103,0.305,1.64362588847594e-103,"Sí"
"part_asamblea",354.692,3,1.43779811108256e-76,0.263,1.72535773329907e-76,"Sí"
"part_concejo",210.625,3,2.13320497106353e-45,0.202,2.32713269570567e-45,"Sí"
"part_gobernacion",147.716,3,8.19250152302905e-32,0.169,8.19250152302905e-32,"Sí"
