"codigo_partido","nombre","cluster","tradicional","gradonac","ideologia"
18480001,"PARTIDO LIBERAL COLOMBIANO","4",1,1,3
18490002,"PARTIDO CONSERVADOR COLOMBIANO","4",1,1,2
18680001,"PARTIDO NACIONAL COLOMBIANO","4",0,99,4
19260001,"PARTIDO SOCIALISTA REVOLUCIONARIO (PSR)","2",0,99,4
19280001,"PARTIDO AGRARIO NACIONAL (PAN)","2",0,99,4
19300001,"PARTIDO COMUNISTA COLOMBIANO","3",0,0,1
19330001,"UNI<U+00F3>N NACIONAL IZQUIERDISTA REVOLUCIONARIA (UNIR)","2",0,99,4
19380001,"PARTIDO SOCIALISTA DEMOCRATICO - PSD","3",0,0,1
19470001,"FRENTE POPULAR","2",0,99,4
19550001,"MOVIMIENTO DE ACCI<U+00F3>N NACIONAL (MAN)","2",0,99,4
19580001,"MOVIMIENTO DE UNI<U+00D3>N Y RECONQUISTA - MUR","4",0,99,4
19580002,"MOVIMIENTO CAT<U+00F3>LICO DE RESISTENCIA (MCR)","2",0,99,4
19580003,"TERCERA FUERZA","2",0,99,4
19589999,"OTROS PARTIDOS O MOVIMIENTOS DE 1958","4",0,99,4
19600001,"MOVIMIENTO REVOLUCIONARIO LIBERAL - MRL","4",0,99,3
19610001,"ALIANZA NACIONAL POPULAR - ANAPO","4",0,0,1
19629999,"OTROS PARTIDOS O MOVIMIENTOS DE 1962","4",0,99,4
19669999,"OTROS PARTIDOS O MOVIMIENTOS DE 1966","4",0,99,4
19690001,"MOVIMIENTO POLITICO COLOMBIA HUMANA","2",0,0,4
19700001,"UNIDAD POPULAR","2",0,0,4
19700002,"MOVIMIENTO OBRERO INDEPENDIENTE Y REVOLUCIONARIO - MOIR","3",0,0,1
19700003,"PARTIDO DEL TRABAJO DE COLOMBIA - PTC","3",0,0,1
19700004,"MOVIMIENTO INDEPENDIENTE LIBERAL - MIL","2",0,0,4
19700005,"FRENTE UNIDO DE IZQUIERDA","2",0,99,4
19700006,"ALIANZA DE IZQUIERDA","2",0,99,4
19700007,"MOVIMIENTO DE ACCI<U+00D3>N EDUCATIVA","2",0,99,4
19700008,"FRENTE POPULAR ""INDEPENDIENTE""","2",0,99,4
19700009,"PARTIDO POPULAR AGRARIO","2",0,99,4
19700010,"LABORISTA","4",0,99,4
19700011,"PARTIDO ""COMUNAL"" DE COLOMBIA","2",0,99,4
19700012,"FRENTE DE OPOSICI<U+00D3>N POPULAR","2",0,99,4
19709999,"OTROS PARTIDOS O MOVIMIENTOS DE 1970","4",0,99,4
19720001,"UNION NACIONAL DE OPOSICION - UNO","4",0,0,1
19720002,"SOCIAL DEMOCRATA CRISTIANO - SDC","4",0,0,4
19720003,"PARTIDO SOCIALDEMOCRATA CRISTIANO","4",0,0,4
19720004,"SOC/INT/CAMPESINO","2",0,99,4
19729999,"OTROS PARTIDOS O MOVIMIENTOS DE 1972","2",0,99,4
19749999,"OTROS PARTIDOS O MOVIMIENTOS DE 1974","4",0,99,4
19750001,"FRENTE POR LA UNIDAD DEL PUEBLO - FUP","3",0,0,1
19760001,"CONFRATENIDAD POL<U+00CD>TICA","2",0,99,4
19760002,"MOVIMIENTO C<U+00CD>VICO COMUNITARIO","2",0,99,4
19760003,"LIGA MARXISTA LENINISTA","2",0,99,4
19760004,"MOVIMIENTO UNION REVOLUCIONARIA SOCIALISTA","2",0,99,4
19760005,"SOCIALISTA POPULAR CRISTIANO","2",0,99,4
19760006,"MOVIMIENTO BLOQUE SOCIALISTA","2",0,99,4
19760007,"FRENTE CIVICO COLOMBIANO","2",0,99,4
19760008,"MOVIMIENTO SOCIAL LABORISTA NACIONAL","2",0,99,4
19760009,"MOVIMIENTO SOCIAL OBRERO COLOMBIANO","2",0,99,4
19760010,"MOVIMIENTO NACIONALISTA POPULAR DE LAS RESERVAS","2",0,99,4
19760011,"MOVIMIENTO NACIONALISTA CAMPESINO","2",0,99,4
19760012,"MOVIMIENTO TECNOCRACIA","2",0,99,4
19760013,"FREPAR","2",0,99,4
19760014,"MOVIMIENTO LIBRE ARTESANAL ""MOLAR""","2",0,99,4
19760015,"FRENTE SOCIALISTA, OBRERO Y CAMPESINO","2",0,99,4
19760016,"MOVIMIENTO NO COMPROMETIDO","2",0,99,4
19760017,"MOVIMIENTO LABORISTA DE COLOMBIA","2",0,99,4
19760018,"ACCI<U+00D3>N REGIONAL DEL MAGDALENA MEDIO","2",0,99,4
19760019,"REINTEGRACI<U+00D3>N COMUN DEMOCR<U+00C1>TICA","2",0,99,4
19760020,"MOVIMIENTO PROGRESISTA DEL ORITO","2",0,99,4
19760021,"MOVIMIENTO COMUNAL DEL PUEBLO","2",0,99,4
19769999,"OTROS PARTIDOS O MOVIMIENTO DE 1976","2",0,99,4
19770001,"PARTIDO SOCIALISTA DE LOS TRABAJADORES - PST","4",0,0,1
19780001,"MOVIMIENTO NACIONAL","4",0,0,4
19780002,"MOVIMIENTO UNITARIO METAPOLITICO - MUM","4",0,0,4
19780003,"PARTIDO FRENTE UNIDAD PUEBLO","3",0,0,1
19780004,"MRN - MOVIMIENTO DE RENOVACI<U+00F3>N NACIONAL","4",0,99,4
19780005,"MACN","4",0,99,4
19780006,"UNIOS - UNION OBRERA Y SOCIALISTA","4",0,99,4
19789999,"OTROS PARTIDOS O MOVIMIENTOS DE 1978","4",0,99,4
19790001,"PARTIDO NUEVO LIBERALISMO","4",0,0,3
19800001,"FRENTE DEMOCRATICO","4",0,0,4
19800002,"MOVIMIENTO FIRMES","3",0,0,1
19800003,"MOVIMIENTO UNITARIO REGINISTA","2",0,99,4
19800005,"MOVIMIENTO INDEPENDIENTE","2",0,99,4
19800006,"MOVIMIENTO C<U+00ED>VICO","2",0,99,4
19800008,"MOVIMIENTO INDEPENDIENTE DE PARTIDOS POL<U+00CD>TICOS","2",0,99,4
19800009,"SOCIAL POPULAR CRISTIANO","2",0,99,4
19800010,"MOVIMIENTO POR LAS CANDIDATURAS OBRERO POPULAR SOCIALISTA REVOLUCIONARIO","2",0,99,4
19800011,"ACCI<U+00D3>N C<U+00CD>VICA NACIONAL","2",0,99,4
19800012,"MOVIMIENTO DE UNIDAD DEMOCR<U+00C1>TICA","2",0,99,4
19800013,"SOCIALISTA DE LOS TRABAJADORES MOVIMIENTO POR LA CANDIDATURA DE LOS TRABAJADORES","2",0,99,4
19800014,"MOVIMIENTO DE ACCI<U+00D3>N C<U+00CD>VICA NACIONAL","2",0,99,4
19800015,"MOVIMIENTO FUERZA POPULAR","2",0,99,4
19800016,"MOVIMIENTO NACIONAL DE PENSIONADOS","2",0,99,4
19800017,"MOVIMIENTO AMIGOS DEL ORDEN Y RECONQUISTA MORAL ""AMOR""","2",0,99,4
19800018,"MOVIMIENTO COALICI<U+00D3>N BELISARISTA","2",0,99,4
