"Componente","Varianza","Acumulada"
"PC1",0.161065485108161,0.161065485108161
"PC2",0.0801532009574048,0.241218686065566
"PC3",0.0657651618166238,0.306983847882189
"PC4",0.0614740366875707,0.36845788456976
"PC5",0.0505503476622295,0.41900823223199
"PC6",0.040094451644653,0.459102683876643
"PC7",0.0381857901439134,0.497288474020556
"PC8",0.0370393224827376,0.534327796503294
"PC9",0.0350836741927877,0.569411470696081
"PC10",0.0331703987457855,0.602581869441867
"PC11",0.0330583787324164,0.635640248174283
"PC12",0.0323830198054304,0.668023267979714
"PC13",0.0323336369214377,0.700356904901151
"PC14",0.0322813400239079,0.732638244925059
"PC15",0.0319715557432497,0.764609800668309
"PC16",0.0314043526895106,0.79601415335782
"PC17",0.0309896836454852,0.827003837003305
"PC18",0.0287716317044232,0.855775468707728
"PC19",0.0281990802216026,0.883974548929331
"PC20",0.0243527776308032,0.908327326560134
"PC21",0.0227628605102188,0.931090187070353
"PC22",0.0165127039524282,0.947602891022781
"PC23",0.0151729945576163,0.962775885580397
"PC24",0.0132671803246018,0.976043065904999
"PC25",0.00973952017526118,0.98578258608026
"PC26",0.00883208446006628,0.994614670540326
"PC27",0.00333470312128916,0.997949373661616
"PC28",0.00164719005495299,0.999596563716568
"PC29",0.000282605988831849,0.9998791697054
"PC30",0.000120830294599441,1
"PC31",1.1913349776044e-30,1
