nombre,tipo_eleccion,votos_totales,n_registros
"""UN CAMBIO JUSTO..."" COLON SIN CORRUPCIÓN",Alcaldía Municipal,2461,1
#YO CREO EN CALIFORNIA,Alcaldía Municipal,376,1
"100"" CUBARRAL",Alcaldía Municipal,1090,1
ABEJORRAL VUELVE A CREER,Alcaldía Municipal,2920,1
ACACIAS SEGURA YA,Alcaldía Municipal,6647,1
ACACIAS SEGURA YA,Concejo Municipal,2776,16
ACCION,Senado,7076,2114
ACCION CIUDADANA POR VILLA DE LEYVA,Alcaldía Municipal,3129,1
ACCION CIUDADANA POR VILLA DE LEYVA,Concejo Municipal,2310,12
ACCION CIVICA CIUDADANA JARDIN,Alcaldía Municipal,590,1
ACCION CON EL CARMEN,Alcaldía Municipal,2295,1
ACCION DEMOCRATICA CIUDADANA,Senado,6735,2114
ACCION DEMOCRATICA CIUDADANA,Camara de Representantes,2212,2
ACCIÓN COMUNITARIA NACIONAL,Camara de Representantes,3526,4
ACCIÓN COMUNITARIA NACIONAL,Concejo Municipal,46,3
ACUERDO CIUDADANO - UNIDOS POR JERICO,Alcaldía Municipal,889,1
ADELANTE CHIA,Concejo Municipal,3585,16
ADELANTE DOSQUEBRADAS,Concejo Municipal,6433,17
ADELANTE OIBA,Alcaldía Municipal,3672,1
ADRIANA RAMIREZ SUAREZ ALCALDESA,Alcaldía Municipal,2362,1
AFRO CIMARRÓN PUTUMAYO,C??mara de Representantes,546,24
AFRODES CAPÍTULO TUMACO ÉTNICO,C??mara de Representantes,433,29
AFROVISION,C??mara de Representantes,8293,5666
AGENCIA AFROCOLOMBIANA EMPRESA ASOCIATIVA DE TRABAJO ACN - EAT,C??mara de Representantes,3201,1316
AGUA DE DIOS PARA TODOS,Concejo Municipal,279,12
AHORA LE TOCA AL PUEBLO,Alcaldía Municipal,2054,1
"AHORA SÍ, TODOS POR EL CAMBIO",Alcaldía Municipal,665,1
ALCALDE GUERRERO,Alcaldía Municipal,245016,1
ALCALDIA BUCARAMANGA-SANTANDER.CANDIDATO INDEPENDIENTE,Alcaldía Municipal,100981,1
ALCALDIA BUCARAMANGA-SANTANDER.CANDIDATO INDEPENDIENTE,Concejo Municipal,168,5
ALCALDIA DE HERRAN-SANTANDER.SI SE PUEDE,Alcaldía Municipal,1049,1
ALIANZA BARBOSA CIVICA,Alcaldía Municipal,5791,1
ALIANZA CIUDADANA POR ARAUCA,Gobernaci??n,8768,7
ALIANZA CIVICA POR ENVIGADO,Concejo Municipal,5536,18
ALIANZA CON DIGNIDAD POR UN ALDANA MEJOR,Alcaldía Municipal,1914,1
ALIANZA DE INTEGRACION DEMOCRATICA POR LOS PALMITOS,Alcaldía Municipal,5922,1
ALIANZA GOBIERNO DE TODOS Y PARA TODOS,Gobernaci??n,150470,27
ALIANZA MORAL POR COLOMBIA AMOR,Senado,11981,2114
ALIANZA MORAL POR COLOMBIA AMOR,Camara de Representantes,3254,86
ALIANZA NACIONAL AFROCOLOMBIANA,C??mara de Representantes,2976,906
ALIANZA NACIONAL POPULAR - ANAPO,Presidencia,2053634,2002
ALIANZA NACIONAL POPULAR - ANAPO,Concejo Municipal,1318342,4031
ALIANZA NACIONAL POPULAR - ANAPO,Asamblea Departamental,1278134,18555
ALIANZA NACIONAL POPULAR - ANAPO,Senado,739515,33010
ALIANZA NACIONAL POPULAR - ANAPO,Camara de Representantes,467962,4040
ALIANZA NACIONAL POPULAR - ANAPO,Alcaldía Municipal,257902,40
ALIANZA NACIONAL POPULAR - ANAPO,C??mara de Representantes,20013,2064
ALIANZA PARA EL PROGRESO,Alcaldía Municipal,2923,1
ALIANZA PARA EL PROGRESO SOCIAL,Alcaldía Municipal,1845,1
ALIANZA PARA LA PROSPERIDAD,Alcaldía Municipal,3823,1
ALIANZA POLITICA POR TURBO,Alcaldía Municipal,24572,1
ALIANZA POR BARRANCABERMEJA,Concejo Municipal,14174,36
ALIANZA POR BELEN,Alcaldía Municipal,1540,1
ALIANZA POR FLORENCIA,Alcaldía Municipal,7292,1
ALIANZA POR GUAITARILLA,Alcaldía Municipal,4687,1
ALIANZA POR LA GLORIA,Alcaldía Municipal,6221,1
ALIANZA POR LA RECONSTRUCCION DE GRANADA,Alcaldía Municipal,1878,1
ALIANZA POR LAS SOLUCIONES PARA CALARCA,Alcaldía Municipal,4346,1
ALIANZA POR MANIZALES,Alcaldía Municipal,44255,1
ALIANZA POR MOSQUERA,Concejo Municipal,2509,15
ALIANZA POR NATAGAIMA,Concejo Municipal,197,11
ALIANZA POR SONSON,Alcaldía Municipal,3708,1
ALIANZA POR SONSON,Concejo Municipal,1172,14
ALIANZA RESERVA ACCION CIVICA,Camara de Representantes,9895,2
ALIANZA SOCIAL AMIGOS POR COTA - ASAC,Alcaldía Municipal,2821,1
ALIANZA SOCIAL AMIGOS POR COTA - ASAC,Concejo Municipal,601,12
ALIANZA SOCIAL DE PARTICIPACION COMUNITARIA,Alcaldía Municipal,649,1
ALIANZA SOCIAL POR BOSCONIA,Alcaldía Municipal,187,1
ALIANZA SOCIAL POR REMEDIOS,Alcaldía Municipal,3104,1
ALIANZA SOCIAL SUCREÑA,Alcaldía Municipal,2058,1
ALIANZA SOCIAL Y CIUDADANA POR EL DONCELLO,Alcaldía Municipal,2404,1
ALIANZA VICTOR VELEZ ALCALDE,Alcaldía Municipal,10260,1
ALPUJARRA VIVE PARA TODOS,Alcaldía Municipal,1441,1
ALTERNATIVA LIBERAL DEL PUEBLO,Concejo Municipal,14561,91
ALTERNATIVA LIBERAL PARA EL CAMBIO SOCIAL,Alcaldía Municipal,2276,1
ALTERNATIVA SOCIAL,Concejo Municipal,525,12
ALTERNATIVOS,Gobernacion,37328,14
ALTERNATIVOS,Concejo Municipal,25679,37
AMANECER DORADO,Concejo Municipal,1209,20
AMIGOS DE COGUA,Alcaldía Municipal,4682,1
AMIGOS DE LA U,Concejo Municipal,488,10
AMIGOS DE NEMOCON,Concejo Municipal,2227,20
AMIGOS POR BOYACA,Gobernaci??n,11884,123
